Cluster,ASSETID,LATITUDE,LONGITUDE,PRICE,CONSTRUCTEDAREA,ROOMNUMBER,UNITPRICE
-1,A9317418022809813655,39.4945318900233,-0.375242371407933,127000.0,229,6,554.585152838428
0,A983616133135621869,39.4557183525051,-0.389077955290802,130000.0,200,7,650.0
1,A12152543729807884502,39.4646130457872,-0.347043952189004,88000.0,150,6,586.666666666667
2,A8497588385916566688,39.4898455808099,-0.387556987745177,112000.0,233,5,480.68669527897
3,A2739776120594491051,39.4674693873615,-0.340368473198799,20000.0,41,0,487.804878048781
4,A13532745525808995779,39.4544034846147,-0.391102642949691,53000.0,110,4,481.818181818182
5,A14669448694838514298,39.4953955479209,-0.368419341041992,25000.0,52,3,480.769230769231
6,A3569737686331790752,39.4546264608044,-0.388595832318952,52000.0,97,1,536.082474226804
7,A9149481596950939305,39.4957780656048,-0.368602578703824,29000.0,60,2,483.333333333333
