"fecha";"cod_producto";"precio";"cod_punto_venta"
2022-05-07;"A";0,758981355161437;"cod_pv_5803"
2020-07-10;"A";0,586175534333788;"cod_pv_36"
2020-03-05;"A";0,581628012733061;"cod_pv_2574"
2019-11-12;"A";0,538426557526148;"cod_pv_7268"
2020-04-30;"A";0,595270577535243;"cod_pv_5803"
2019-06-23;"A";0,483856298317417;"cod_pv_7268"
2021-08-31;"A";0,799909049567985;"cod_pv_5803"
2020-01-20;"A";0,558890404729423;"cod_pv_5803"
2019-11-29;"A";0,499772623919964;"cod_pv_36"
2022-03-20;"A";0,631650750341064;"cod_pv_4454"
2021-07-13;"A";0,940882219190541;"cod_pv_2574"
2020-11-13;"A";0,699408822191905;"cod_pv_7268"
2022-02-07;"A";0,681673487949068;"cod_pv_5803"
2019-07-18;"A";0,472487494315598;"cod_pv_5803"
2019-11-19;"A";0,558890404729423;"cod_pv_2574"
2020-12-25;"A";0,845384265575262;"cod_pv_2574"
2019-12-20;"A";0,495225102319236;"cod_pv_36"
2021-04-15;"A";0,854479308776717;"cod_pv_36"
2021-08-19;"A";0,839017735334243;"cod_pv_7268"
2021-07-22;"A";0,954524783992724;"cod_pv_2574"
2021-08-31;"A";0,799909049567985;"cod_pv_2574"
2019-06-09;"A";0,483856298317417;"cod_pv_7268"
2022-07-13;"A";0,777171441564347;"cod_pv_5803"
2020-08-18;"A";0,590723055934516;"cod_pv_36"
2021-11-04;"A";0,777171441564347;"cod_pv_1380"
2020-01-10;"A";0,547521600727603;"cod_pv_7268"
2022-05-10;"A";0,763528876762165;"cod_pv_5803"
2022-06-08;"A";0,745338790359254;"cod_pv_4454"
2021-05-22;"A";0,909049567985448;"cod_pv_1380"
2022-04-05;"A";0,636198271941792;"cod_pv_4454"
2020-06-08;"A";0,603910868576626;"cod_pv_7268"
2019-09-26;"A";0,513415188722146;"cod_pv_5803"
2020-07-01;"A";0,586175534333788;"cod_pv_36"
2020-03-24;"A";0,590723055934516;"cod_pv_5803"
2020-08-25;"A";0,645293315143247;"cod_pv_1380"
2020-05-09;"A";0,595270577535243;"cod_pv_5803"
2021-12-06;"A";0,672578444747613;"cod_pv_36"
2020-11-06;"A";0,708958617553433;"cod_pv_2574"
2021-04-01;"A";0,922692132787631;"cod_pv_7268"
2021-09-08;"A";0,795361527967258;"cod_pv_2574"
2020-11-13;"A";0,695316052751251;"cod_pv_1380"
2021-09-08;"A";0,731696225557071;"cod_pv_36"
2021-12-07;"A";0,740791268758527;"cod_pv_2574"
2021-04-02;"A";0,931787175989086;"cod_pv_1380"
2022-05-13;"A";0,768076398362892;"cod_pv_5803"
2022-03-24;"A";0,622555707139609;"cod_pv_4454"
2021-06-29;"A";0,854479308776717;"cod_pv_7268"
2020-12-01;"A";0,804456571168713;"cod_pv_36"
2022-05-04;"A";0,758981355161437;"cod_pv_2574"
2019-11-14;"A";0,549795361527967;"cod_pv_2574"
2020-05-18;"A";0,595270577535243;"cod_pv_5803"
2020-06-20;"A";0,554342883128695;"cod_pv_36"
2022-07-04;"A";0,777171441564347;"cod_pv_2574"
2019-03-21;"A";0,499772623919964;"cod_pv_1380"
2021-06-05;"A";0,893587994542974;"cod_pv_7268"
2021-11-17;"A";0,768076398362892;"cod_pv_1380"
2021-11-25;"A";0,77262391996362;"cod_pv_5803"
2021-11-29;"A";0,758981355161437;"cod_pv_2574"
2020-07-08;"A";0,649840836743975;"cod_pv_2574"
2019-10-08;"A";0,463392451114143;"cod_pv_36"
2021-02-09;"A";0,872669395179627;"cod_pv_5803"
2021-03-11;"A";0,927239654388358;"cod_pv_36"
2019-09-23;"A";0,503865393360619;"cod_pv_7268"
2021-05-06;"A";0,859026830377444;"cod_pv_2574"
2022-05-03;"A";0,690768531150523;"cod_pv_4454"
2019-11-18;"A";0,554342883128695;"cod_pv_2574"
2022-06-04;"A";0,795361527967258;"cod_pv_5803"
2020-05-25;"A";0,599818099135971;"cod_pv_5803"
2020-10-23;"A";0,675306957708049;"cod_pv_7268"
2020-10-08;"A";0,663483401546157;"cod_pv_2574"
2021-05-06;"A";0,859026830377444;"cod_pv_5803"
2019-09-22;"A";0,508867667121419;"cod_pv_1380"
2020-04-17;"A";0,588449295134152;"cod_pv_7268"
2019-10-11;"A";0,51568894952251;"cod_pv_7268"
2020-09-26;"A";0,627103228740337;"cod_pv_1380"
2020-07-17;"A";0,590723055934516;"cod_pv_36"
2022-04-29;"A";0,736243747157799;"cod_pv_5803"
2020-06-18;"A";0,622555707139609;"cod_pv_5803"
2019-06-10;"A";0,495225102319236;"cod_pv_2574"
2021-10-06;"A";0,788994997726239;"cod_pv_7268"
2020-11-21;"A";0,736243747157799;"cod_pv_5803"
2022-03-02;"A";0,681673487949068;"cod_pv_1380"
2022-03-09;"A";0,627103228740337;"cod_pv_4454"
2019-10-25;"A";0,531605275125057;"cod_pv_2574"
2019-02-25;"A";0,495225102319236;"cod_pv_5803"
2021-11-26;"A";0,748067303319691;"cod_pv_7268"
2020-02-03;"A";0,56343792633015;"cod_pv_1380"
2020-12-24;"A";0,88631195998181;"cod_pv_1380"
2022-07-04;"A";0,727148703956344;"cod_pv_4454"
2021-09-07;"A";0,731696225557071;"cod_pv_36"
2021-02-02;"A";0,88631195998181;"cod_pv_2574"
2022-04-25;"A";0,72987721691678;"cod_pv_7268"
2021-08-07;"A";0,899954524783993;"cod_pv_2574"
2020-02-27;"A";0,517962710322874;"cod_pv_36"
2019-04-05;"A";0,508867667121419;"cod_pv_2574"
2021-07-04;"A";0,88631195998181;"cod_pv_36"
2020-03-15;"A";0,586175534333788;"cod_pv_5803"
2021-09-30;"A";0,804456571168713;"cod_pv_2574"
2021-12-27;"A";0,727148703956344;"cod_pv_1380"
2021-07-26;"A";0,940882219190541;"cod_pv_1380"
2019-11-18;"A";0,554342883128695;"cod_pv_5803"
2021-02-13;"A";0,799909049567985;"cod_pv_36"
2020-12-21;"A";0,840836743974534;"cod_pv_36"
2022-01-28;"A";0,686221009549795;"cod_pv_2574"
2020-10-21;"A";0,686221009549795;"cod_pv_5803"
2019-09-24;"A";0,458844929513415;"cod_pv_36"
2020-01-04;"A";0,544793087767167;"cod_pv_7268"
2019-10-31;"A";0,526603001364257;"cod_pv_7268"
2020-06-07;"A";0,608913142337426;"cod_pv_2574"
2020-12-11;"A";0,795361527967258;"cod_pv_36"
2020-04-27;"A";0,599818099135971;"cod_pv_2574"
2020-05-30;"A";0,604365620736699;"cod_pv_5803"
2021-04-02;"A";0,927239654388358;"cod_pv_2574"
2021-06-11;"A";0,863574351978172;"cod_pv_7268"
2021-01-06;"A";0,863574351978172;"cod_pv_5803"
2020-07-21;"A";0,645293315143247;"cod_pv_1380"
2022-03-24;"A";0,695316052751251;"cod_pv_2574"
2021-10-03;"A";0,786266484765803;"cod_pv_1380"
2021-11-28;"A";0,768076398362892;"cod_pv_5803"
2021-12-13;"A";0,727148703956344;"cod_pv_7268"
2019-11-16;"A";0,540245566166439;"cod_pv_7268"
2021-07-17;"A";0,927239654388358;"cod_pv_7268"
2022-01-04;"A";0,731696225557071;"cod_pv_5803"
2021-05-15;"A";0,88631195998181;"cod_pv_5803"
2020-09-22;"A";0,640745793542519;"cod_pv_2574"
2019-08-31;"A";0,454297407912688;"cod_pv_36"
2020-01-12;"A";0,554342883128695;"cod_pv_1380"
2020-03-02;"A";0,579354251932697;"cod_pv_7268"
2022-05-28;"A";0,788994997726239;"cod_pv_7268"
2021-07-11;"A";0,931787175989086;"cod_pv_1380"
2020-06-15;"A";0,595270577535243;"cod_pv_1380"
2021-08-20;"A";0,849931787175989;"cod_pv_2574"
2020-10-22;"A";0,686221009549795;"cod_pv_2574"
2021-09-05;"A";0,770804911323329;"cod_pv_7268"
2021-05-17;"A";0,877216916780355;"cod_pv_7268"
2021-07-23;"A";0,931787175989086;"cod_pv_7268"
2020-12-16;"A";0,831741700773079;"cod_pv_36"
2021-11-24;"A";0,758981355161437;"cod_pv_1380"
2022-02-04;"A";0,681673487949068;"cod_pv_5803"
2021-11-26;"A";0,77262391996362;"cod_pv_5803"
2022-03-26;"A";0,622555707139609;"cod_pv_4454"
2022-01-21;"A";0,699863574351978;"cod_pv_5803"
2020-12-06;"A";0,849931787175989;"cod_pv_2574"
2020-12-01;"A";0,8681218735789;"cod_pv_1380"
2021-07-07;"A";0,92087312414734;"cod_pv_7268"
2019-10-29;"A";0,517962710322874;"cod_pv_1380"
2020-03-11;"A";0,581628012733061;"cod_pv_5803"
2019-09-03;"A";0,508867667121419;"cod_pv_2574"
2022-01-22;"A";0,699863574351978;"cod_pv_2574"
2019-10-27;"A";0,527057753524329;"cod_pv_5803"
2019-08-05;"A";0,427012278308322;"cod_pv_36"
2019-06-05;"A";0,504320145520691;"cod_pv_1380"
2022-06-17;"A";0,80718508412915;"cod_pv_7268"
2021-03-07;"A";0,90450204638472;"cod_pv_36"
2021-03-01;"A";0,863574351978172;"cod_pv_36"
2021-06-30;"A";0,854479308776717;"cod_pv_1380"
2022-05-27;"A";0,727148703956344;"cod_pv_4454"
2019-07-24;"A";0,46793997271487;"cod_pv_2574"
2019-06-17;"A";0,490677580718508;"cod_pv_5803"
2019-06-23;"A";0,495225102319236;"cod_pv_1380"
2021-06-28;"A";0,872669395179627;"cod_pv_5803"
2021-09-12;"A";0,781718963165075;"cod_pv_5803"
2021-07-20;"A";0,940882219190541;"cod_pv_1380"
2020-04-30;"A";0,595270577535243;"cod_pv_2574"
2019-05-05;"A";0,508867667121419;"cod_pv_2574"
2020-03-06;"A";0,522510231923602;"cod_pv_36"
2021-02-02;"A";0,872669395179627;"cod_pv_1380"
2021-08-26;"A";0,836289222373806;"cod_pv_1380"
2021-02-18;"A";0,813551614370168;"cod_pv_36"
2021-03-12;"A";0,963619827194179;"cod_pv_1380"
