"Lon";"Lat";"CITY";"POIS"
-3.70379;40.41659;"Madrid";"City_Center"
-3.645225284;40.3897687;"Madrid";"Metro"
-3.703317807;40.45033105;"Madrid";"Metro"
-3.699375742;40.41246303;"Madrid";"Metro"
-3.692490884;40.40884679;"Madrid";"Metro"
-3.676377276;40.47680706;"Madrid";"Metro"
-3.702188296;40.42904964;"Madrid";"Metro"
-3.65391434;40.39155775;"Madrid";"Metro"
-3.618850584;40.37238111;"Madrid";"Metro"
-3.703978477;40.44696668;"Madrid";"Metro"
-3.703028749;40.45427875;"Madrid";"Metro"
-3.701811364;40.42000686;"Madrid";"Metro"
-3.698983453;40.43491591;"Madrid";"Metro"
-3.613471104;40.37018451;"Madrid";"Metro"
-3.599533888;40.36322146;"Madrid";"Metro"
-3.680990946;40.4044466;"Madrid";"Metro"
-3.639511225;40.38731393;"Madrid";"Metro"
-3.664145352;40.39553551;"Madrid";"Metro"
-3.675137364;40.40125568;"Madrid";"Metro"
-3.666807044;40.48013292;"Madrid";"Metro"
-3.689182341;40.46689362;"Madrid";"Metro"
-3.658685211;40.3926568;"Madrid";"Metro"
-3.669061703;40.39819187;"Madrid";"Metro"
-3.701332287;40.44197376;"Madrid";"Metro"
-3.624724517;40.38216046;"Madrid";"Metro"
-3.698258342;40.46055089;"Madrid";"Metro"
-3.704666475;40.41234081;"Madrid";"Metro"
-3.70110929;40.42618231;"Madrid";"Metro"
-3.695066467;40.46441696;"Madrid";"Metro"
-3.593169837;40.36006503;"Madrid";"Metro"
-3.621308016;40.37959325;"Madrid";"Metro"
-3.783925419;40.38363227;"Madrid";"Metro"
-3.753116583;40.40785518;"Madrid";"Metro"
-3.6858519;40.48040886;"Madrid";"Metro"
-3.774618016;40.39697435;"Madrid";"Metro"
-3.79152548;40.37769758;"Madrid";"Metro"
-3.68986238;40.45842113;"Madrid";"Metro"
-3.69283384;40.49507881;"Madrid";"Metro"
-3.807202279;40.34984122;"Madrid";"Metro"
-3.735637717;40.41640918;"Madrid";"Metro"
-3.709704711;40.42408481;"Madrid";"Metro"
-3.6904035;40.4521354;"Madrid";"Metro"
-3.695209949;40.50119961;"Madrid";"Metro"
-3.635133826;40.55441859;"Madrid";"Metro"
-3.611465759;40.5597624;"Madrid";"Metro"
-3.658599532;40.52759393;"Madrid";"Metro"
-3.635571004;40.53194807;"Madrid";"Metro"
-3.669446787;40.50832463;"Madrid";"Metro"
